match,date,name,venue,city,country,hometeam,awayteam,homegoal,awaygoal,status,update time 
1,2022-09-06T16:45Z,Dortmund vs Copenhagen,SIGNAL IDUNA PARK,Dortmund,Germany,Dortmund,Copenhagen,none,none,STATUS_SCHEDULED,2022-09-01T22:54:30Z
2,2022-09-06T16:45Z,Dinamo Zagreb vs Chelsea,Maksimir,Zagreb,Croatia,Dinamo Zagreb,Chelsea,none,none,STATUS_SCHEDULED,2022-09-01T22:54:30Z
3,2022-09-06T19:00Z,Benfica vs M. Haifa,Estádio da Luz,Lisbon,Portugal,Benfica,M. Haifa,none,none,STATUS_SCHEDULED,2022-09-01T22:54:30Z
4,2022-09-06T19:00Z,Celtic vs Real Madrid,Celtic Park,Glasgow,Scotland,Celtic,Real Madrid,none,none,STATUS_SCHEDULED,2022-09-01T22:54:30Z
5,2022-09-06T19:00Z,Salzburg vs Milan,Red Bull Arena Salzburg,Wals bei Salzburg,Austria,Salzburg,Milan,none,none,STATUS_SCHEDULED,2022-09-01T22:54:30Z
6,2022-09-06T19:00Z,Paris vs Juventus,Parc des Princes,Paris,France,Paris,Juventus,none,none,STATUS_SCHEDULED,2022-09-01T22:54:30Z
7,2022-09-06T19:00Z,Leipzig vs Shakhtar Donetsk,Red Bull Arena,Leipzig,,Leipzig,Shakhtar Donetsk,none,none,STATUS_SCHEDULED,2022-09-01T22:54:30Z
8,2022-09-06T19:00Z,Sevilla vs Man City,Ramón Sánchez-Pizjuán,Sevilla,Spain,Sevilla,Man City,none,none,STATUS_SCHEDULED,2022-09-01T22:54:30Z
9,2022-09-07T16:45Z,Ajax vs Rangers,Johan Cruijff Arena,Amsterdam,Netherlands,Ajax,Rangers,none,none,STATUS_SCHEDULED,2022-09-01T22:54:30Z
10,2022-09-07T16:45Z,Frankfurt vs Sporting CP,Deutsche Bank Park,Frankfurt,Germany,Frankfurt,Sporting CP,none,none,STATUS_SCHEDULED,2022-09-01T22:54:30Z
11,2022-09-07T19:00Z,Atlético vs Porto,Cívitas Metropolitano,Madrid,Spain,Atlético,Porto,none,none,STATUS_SCHEDULED,2022-09-01T22:54:30Z
12,2022-09-07T19:00Z,Barcelona vs Plzeň,Spotify Camp Nou,Barcelona,Spain,Barcelona,Plzeň,none,none,STATUS_SCHEDULED,2022-09-01T22:54:30Z
13,2022-09-07T19:00Z,Club Brugge vs Leverkusen,Jan Breydelstadion,Brugge,Belgium,Club Brugge,Leverkusen,none,none,STATUS_SCHEDULED,2022-09-01T22:54:30Z
14,2022-09-07T19:00Z,Inter vs Bayern,Giuseppe Meazza,Milano,Italy,Inter,Bayern,none,none,STATUS_SCHEDULED,2022-09-01T22:54:30Z
15,2022-09-07T19:00Z,Napoli vs Liverpool,Diego Armando Maradona,Napoli,Italy,Napoli,Liverpool,none,none,STATUS_SCHEDULED,2022-09-01T22:54:30Z
16,2022-09-07T19:00Z,Tottenham vs Marseille,Tottenham Hotspur Stadium,London,England,Tottenham,Marseille,none,none,STATUS_SCHEDULED,2022-09-01T22:54:30Z
17,2022-09-13T16:45Z,Sporting CP vs Tottenham,Estádio José Alvalade,Lisbon,Portugal,Sporting CP,Tottenham,none,none,STATUS_SCHEDULED,2022-09-01T22:54:30Z
18,2022-09-13T16:45Z,Plzeň vs Inter,Doosan Arena,Plzen,Czech Republic,Plzeň,Inter,none,none,STATUS_SCHEDULED,2022-09-01T22:54:30Z
19,2022-09-13T19:00Z,Leverkusen vs Atlético,BayArena,Leverkusen,Germany,Leverkusen,Atlético,none,none,STATUS_SCHEDULED,2022-09-01T22:54:30Z
20,2022-09-13T19:00Z,Bayern vs Barcelona,Allianz Arena,München,Germany,Bayern,Barcelona,none,none,STATUS_SCHEDULED,2022-09-01T22:54:30Z
21,2022-09-13T19:00Z,Porto vs Club Brugge,Estádio do Dragão,Porto,Portugal,Porto,Club Brugge,none,none,STATUS_SCHEDULED,2022-09-01T22:54:30Z
22,2022-09-13T19:00Z,Liverpool vs Ajax,Anfield,Liverpool,England,Liverpool,Ajax,none,none,STATUS_SCHEDULED,2022-09-01T22:54:30Z
23,2022-09-13T19:00Z,Marseille vs Frankfurt,Stade Vélodrome,Marseille,France,Marseille,Frankfurt,none,none,STATUS_SCHEDULED,2022-09-01T22:54:30Z
24,2022-09-13T19:00Z,Rangers vs Napoli,Ibrox Stadium,Glasgow,Scotland,Rangers,Napoli,none,none,STATUS_SCHEDULED,2022-09-01T22:54:30Z
25,2022-09-14T16:45Z,Milan vs Dinamo Zagreb,Giuseppe Meazza,Milano,Italy,Milan,Dinamo Zagreb,none,none,STATUS_SCHEDULED,2022-09-01T22:54:30Z
26,2022-09-14T16:45Z,Shakhtar Donetsk vs Celtic,Stadion Legii Warszawa im. Jozefa Pilsudskiego,Warsaw,Poland,Shakhtar Donetsk,Celtic,none,none,STATUS_SCHEDULED,2022-09-01T22:54:30Z
27,2022-09-14T19:00Z,Chelsea vs Salzburg,Stamford Bridge,London,England,Chelsea,Salzburg,none,none,STATUS_SCHEDULED,2022-09-01T22:54:30Z
28,2022-09-14T19:00Z,Copenhagen vs Sevilla,Telia Parken,Copenhagen,Denmark,Copenhagen,Sevilla,none,none,STATUS_SCHEDULED,2022-09-01T22:54:30Z
29,2022-09-14T19:00Z,Juventus vs Benfica,Allianz Stadium,Torino,Italy,Juventus,Benfica,none,none,STATUS_SCHEDULED,2022-09-01T22:54:30Z
30,2022-09-14T19:00Z,M. Haifa vs Paris,Sammy Ofer Stadium,Haifa,Israel,M. Haifa,Paris,none,none,STATUS_SCHEDULED,2022-09-01T22:54:30Z
31,2022-09-14T19:00Z,Man City vs Dortmund,Etihad Stadium,Manchester,England,Man City,Dortmund,none,none,STATUS_SCHEDULED,2022-09-01T22:54:30Z
32,2022-09-14T19:00Z,Real Madrid vs Leipzig,Santiago Bernabéu,Madrid,Spain,Real Madrid,Leipzig,none,none,STATUS_SCHEDULED,2022-09-01T22:54:30Z
33,2022-10-04T16:45Z,Bayern vs Plzeň,Allianz Arena,München,Germany,Bayern,Plzeň,none,none,STATUS_SCHEDULED,2022-09-01T22:54:30Z
34,2022-10-04T16:45Z,Marseille vs Sporting CP,Stade Vélodrome,Marseille,France,Marseille,Sporting CP,none,none,STATUS_SCHEDULED,2022-09-01T22:54:30Z
35,2022-10-04T19:00Z,Ajax vs Napoli,Johan Cruijff Arena,Amsterdam,Netherlands,Ajax,Napoli,none,none,STATUS_SCHEDULED,2022-09-01T22:54:30Z
36,2022-10-04T19:00Z,Club Brugge vs Atlético,Jan Breydelstadion,Brugge,Belgium,Club Brugge,Atlético,none,none,STATUS_SCHEDULED,2022-09-01T22:54:30Z
37,2022-10-04T19:00Z,Frankfurt vs Tottenham,Deutsche Bank Park,Frankfurt,Germany,Frankfurt,Tottenham,none,none,STATUS_SCHEDULED,2022-09-01T22:54:30Z
38,2022-10-04T19:00Z,Porto vs Leverkusen,Estádio do Dragão,Porto,Portugal,Porto,Leverkusen,none,none,STATUS_SCHEDULED,2022-09-01T22:54:30Z
39,2022-10-04T19:00Z,Inter vs Barcelona,Giuseppe Meazza,Milano,Italy,Inter,Barcelona,none,none,STATUS_SCHEDULED,2022-09-01T22:54:30Z
40,2022-10-04T19:00Z,Liverpool vs Rangers,Anfield,Liverpool,England,Liverpool,Rangers,none,none,STATUS_SCHEDULED,2022-09-01T22:54:30Z
41,2022-10-05T16:45Z,Salzburg vs Dinamo Zagreb,Red Bull Arena Salzburg,Wals bei Salzburg,Austria,Salzburg,Dinamo Zagreb,none,none,STATUS_SCHEDULED,2022-09-01T22:54:30Z
